Rank,Division,Code,Name,Twitter,Crest
170,9,NEP,Nepal,@theanfacom,crests/NEP
172,9,MRI,Mauritius,@MauritiusFA,crests/MRI
173,9,IDN,Indonesia,@PSSI,crests/IDN
173,9,CAM,Cambodia,@thecamsfootball,crests/CAM
175,9,MDA,Moldova,@MoldovaFA,crests/MDA
176,9,LCA,St. Lucia,@SaintLuciaFA,crests/LCA
177,9,CHA,Chad,Chad,crests/CHA
178,9,PUR,Puerto Rico,@FutbolPR,crests/PUR
179,9,CUB,Cuba,Cuba,crests/CUB
180,9,LIE,Liechtenstein,@LFV_Football,crests/LIE
181,10,STP,São Tomé and Príncipe,São Tomé and Príncipe,crests/STP
182,10,MAC,Macau,Macau,crests/MAC
183,10,MSR,Montserrat,@Montserrat_FA,crests/MSR
184,10,DJI,Djibouti,@1979_fdf,crests/DJI
184,10,DMA,Dominica,@DominicaFootball,crests/DMA
184,10,MLT,Malta,@MaltaFA1900,crests/MLT
187,10,BAN,Bangladesh,@bff_football,crests/BAN
188,10,LAO,Laos,Laos,crests/LAO
189,10,BHU,Bhutan,@BhutanFootball,crests/BHU
190,10,MNG,Mongolia,@the_mff17,crests/MNG
191,10,BRU,Brunei,@bruneifootball,crests/BRU
192,10,ASA,American Samoa,@AmSamoaSoccer,crests/ASA
193,10,CAY,Cayman Islands,@theCIFAofficial,crests/CAY
194,10,SAM,Samoa,@SokaSamoa,crests/SAM
195,10,BAH,Bahamas,@BahamasFA,crests/BAH
196,10,GIB,Gibraltar,@GibraltarFA,crests/GIB
196,10,SOM,Somalia,@SomaliFA,crests/SOM
196,10,TLS,Timor-Leste,@FFTLfutebol,crests/TLS
199,10,GUM,Guam,@GuamFootball,crests/GUM
200,10,ARU,Aruba,@ArubaAVB,crests/ARU
200,11,PAK,Pakistan,@PakistanFF,crests/PAK
202,11,SEY,Seychelles,Seychelles,crests/SEY
203,11,TCA,Turks and Caicos Islands,@TCIFA_,crests/TCA
203,11,TGA,Tonga,@TongaFootball,crests/TGA
205,11,ERI,Eritrea,@ENFFonline,crests/ERI
206,11,SRI,Sri Lanka,@OfficialFFSL,crests/SRI
207,11,VIR,US Virgin Islands,@USVISoccerNT,crests/VIR
208,11,VGB,British Virgin Islands,@BvifaNews,crests/VGB
209,11,SMR,San Marino,@CalcioSanMarino,crests/SMR
210,11,AIA,Anguilla,Anguilla,crests/AIA
